8405010501001091                         21122211123
8405010501001101FRENCH                   21121211143
8405010501001111ENGLISH                  19222221123
8405010501001129                         12122112443
8405010501001131                         22122243443
8405010501001141                         21221211133
8405010501001151                         12122211333
8405010501001161                         22122222139
8405010501001171                         12222211933
8405010501001181                         12222231233
8405010501001191                         21122221125
8405010501001201                         22222222241
8405010501004019                         22222223343
8405010501004021                         22122211213
8405010501004031                         22212234443
8405010501004049                         11122241134
8405010501004052ENGLISH                  12122221441
8405010501004069SPANISH                  21221211143
8405010501004071                         12221231243
8405010501004081                         22121221343
8405010501004091                         21122212343
8405010501004109                         12222221141
8405010501004112ENGLISH                  12222211141
8405010501004121                         22122152245
8405010501004131                         22222211335
8405010501004141                         22122211343
8405010501004151                         11121221143
8405010501004169VIETNAMESE               22222212244
8405010501004171                         22122222143
8405010501004181                         22222241123
8405010501004199ENGLISH                  12112211343
8405010501004201                         21121221243
8405010501004219                         12222121121
8405010501004221                         12222222243
8405011501103011                         21222114343
8405011501103029                         22112241143
8405011501103031                         12122212443
8405011501103041                         21222212433
8405011501103052ENGLISH                  12222941131
8405011501103069                         12222211143
8405011501103079                         22212212933
8405011501103081                         12212211243
8405011501103099                         22229911423
8405011501103101                         22122112433
8405011501103119                         11122211441
8405011501103121A BIT OF FRENCH          22122222443
8405011501103131                         12222223239
8405011501103141                         12122211223
8405011501103151                         22222121143
8405011501103169                         19991242123
8405011501103171                         12221232443
8405011501103181                         11122221233
8405011501103191                         12222212343
8405011501103201                         99999991133
8405011501103219ENGLISH AND SPANISH      22122233133
8405011501103221                         22222222243
8405011501103231                         22122214343
840501150110324                                     
8405011501103261                         22122213233
8405011501103271                         22222239243
8405011501103281ENGLISH                  12211211133
8405011501105011                         22222233146
8405011501105022                         99921234131
8405011501105039                         22222221113
8405011501105049                         22222211141
8405011501105051                         21229922231
8405011501105061                         22222121115
8405011501105072                         12222131119
8405011501105092                         92222131141
8405011501105101                         22222251243
8405011501105111                         22212914443
8405011501105121                         22222124441
8405011501105139                         22222199121
8405012501202011                         21222191143
8405012501202021                         21122194143
8405012501202039                         11122211111
8405012501202049                         21229991249
8405012501202051                         21121211146
8405012501202061                         21222221123
8405012501202079                         21129121121
8405012501202091SPANISH                  22122211216
8405012501202101                         12122211143
8405012501202111                         21122221133
8405012501202121                         22222231343
8405012501202132                         12122212342
8405012501202141                         21222221443
8405012501202151                         12212221243
8405012501202161                         22122211131
8405012501202171                         11121121443
8405012501202181                         11222221143
8405012501202191                         11122231143
8405012501202201                         11122253312
8405012501205011                         99992211233
8405012501205021                         12222221123
8405012501205031                         11222132223
8405012501205041                         29992221121
8405012501205089                         22222231241
8405012501205111                         12111211243
8405012501205129                         22222123441
8405012501205142ENGLISH                  21122241131
8405012501205152                         22222211142
8405012501205172ENGLISH                  12222211245
8405012501205189NONE                     11122231242
8405012501205219JOWISH                   12111191991
8405012501205222                         21222231235
8405013501301011SPANI                    21211221241
8405013501301029                         99999991443
8405013501301039                         12122231123
8405013501301049                         12222221441
8405013501301059                         22222221441
8405013501301069                         12122211221
8405013501301079                         12129211232
8405013501301089                         12122232331
8405013501301099                         21222211241
8405013501301109                         22222221331
8405013501301111                         12122211343
8405013501301129                         21122211225
8405013501301139                         22221231242
8405013501301141                         12222221242
8405013501301159                         12212221231
8405013501301169                         99999991441
8405013501301179NOTHING ELSE             11112111343
8405013501301189                         11111211243
8405013501301199                         12222211241
8405013501301209                         22112221332
8405013501301212GIBBERISH                21112223431
8405013501301221                         11111232239
8405013501301231                         22222221341
8405013501301241                         21221221145
8405013501301259                         99999991341
8405013501305019                         22292222443
8405013501305049                         92929231331
8405013501305051                         11212251343
8405013501305061                         21111121345
8405013501305079                         99999991141
8405013501305089                         22222224414
8405013501305099                         21122111241
8405013501305101                         22122221143
8405013501305112ENGLISH                  12222211149
